ID,Corredor,Sentido,Inicio,Fin,Longitud [km],Proyecto,PYP,Operación,Estado,Google maps,Python,Vectorrutas,Origin,Punto de control,Destination,Enviar correo,Consulta Phyton,Archivo Phyton,Observaciones_1
17,Avenida 33,EW,Autopista Sur ,Avenida 80,2.5,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2396626,-75.5795936/6.2388313,-75.6026027/@6.2388459,-75.5946057,16.25z","https://maps.googleapis.com/maps/api/directions/json?origin=6.2396626,-75.5795936&destination=6.2388313,-75.6026027&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Autopista Sur hasta Avenida 80 por Avenida 33,"6.2396626,-75.5795936",,"6.2388313,-75.6026027",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2396626,-75.5795936&destination=6.2388313,-75.6026027&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,17,""Ruta desde Autopista Sur hasta Avenida 80 por Avenida 33"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
18,Avenida 33,WE,Avenida 80,Autopista Sur ,2.6,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2386779,-75.6026093/6.239575,-75.5790454/@6.2396435,-75.594373,16.25z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2386779,-75.6026093&destination=6.239575,-75.5790454&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 80 hasta Autopista Sur por Avenida 33,"6.2386779,-75.6026093",,"6.239575,-75.5790454",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2386779,-75.6026093&destination=6.239575,-75.5790454&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,18,""Ruta desde Avenida 80 hasta Autopista Sur por Avenida 33"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
19,Calle 30,WE,Avenida 80,Industriales,2.9,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2309942,-75.6017231/6.2312568,-75.5754982/@6.2307367,-75.596449,15.25z","https://maps.googleapis.com/maps/api/directions/json?origin=6.2309942,-75.6017231&destination=6.2312568,-75.5754982&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 80 hasta Industriales por Calle 30,"6.2309942,-75.6017231",,"6.2312568,-75.5754982",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2309942,-75.6017231&destination=6.2312568,-75.5754982&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,19,""Ruta desde Avenida 80 hasta Industriales por Calle 30"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
20,Calle 30,EW,Industriales,Avenida 80,2.9,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2313668,-75.5754977/6.2312006,-75.6017089/@6.2310839,-75.5967684,15.25z","https://maps.googleapis.com/maps/api/directions/json?origin=6.2313668,-75.5754977&destination=6.2312006,-75.6017089&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Industriales hasta Avenida 80 por Calle 30,"6.2313668,-75.5754977",,"6.2312006,-75.6017089",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2313668,-75.5754977&destination=6.2312006,-75.6017089&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,20,""Ruta desde Industriales hasta Avenida 80 por Calle 30"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
21,Avenida San Juan,WE,Avenida 80,Avenida Regional,2.5,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2501635,-75.6021644/6.2477776,-75.5800186/@6.2481987,-75.5984594,15.5z","https://maps.googleapis.com/maps/api/directions/json?origin=6.2501635,-75.6021644&destination=6.2477776,-75.5800186&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 80 hasta Avenida Regional por Avenida San Juan,"6.2501635,-75.6021644",,"6.2477776,-75.5800186",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2501635,-75.6021644&destination=6.2477776,-75.5800186&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,21,""Ruta desde Avenida 80 hasta Avenida Regional por Avenida San Juan"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
22,Avenida San Juan,EW,Avenida Regional,Avenida 80,2.5,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2479456,-75.5799963/6.2507516,-75.6020369/@6.2487774,-75.5973154,15.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2479456,-75.5799963&destination=6.2507516,-75.6020369&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Regional hasta Avenida 80 por Avenida San Juan,"6.2479456,-75.5799963",,"6.2507516,-75.6020369",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2479456,-75.5799963&destination=6.2507516,-75.6020369&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,22,""Ruta desde Avenida Regional hasta Avenida 80 por Avenida San Juan"",1)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
23,Avenida Ferrocarril,NS,Barranquilla ,San Juan,2.3,TV P.O/ZUAP/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2643942,-75.5676689/6.2469971,-75.5753363/@6.2556956,-75.5747083,15.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2643942,-75.5676689&destination=6.2469971,-75.5753363&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Barranquilla hasta San Juan por Avenida Ferrocarril,"6.2643942,-75.5676689",,"6.2469971,-75.5753363",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2643942,-75.5676689&destination=6.2469971,-75.5753363&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,23,""Ruta desde Barranquilla hasta San Juan por Avenida Ferrocarril"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
24,Avenida Ferrocarril,SN,San Juan,Barranquilla,2.3,TV P.O/ZUAP/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2468962,-75.5751685/6.2643783,-75.5674407/@6.2559665,-75.5769061,15.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2468962,-75.5751685&destination=6.2643783,-75.5674407&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde San Juan hasta Barranquilla por Avenida Ferrocarril,"6.2468962,-75.5751685",,"6.2643783,-75.5674407",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2468962,-75.5751685&destination=6.2643783,-75.5674407&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,24,""Ruta desde San Juan hasta Barranquilla por Avenida Ferrocarril"",0)",tiempos_de_viaje_seguimiento_1.pyw,Seguimiento 13/07/2022
25,Avenida Oriental,SN,San Juan,Villanueva,1.6,TV P.O/ZUAP/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2432958,-75.5686182/6.2557354,-75.5638362/@6.2439203,-75.5677959,18.04z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2432958,-75.5686182&destination=6.2557354,-75.5638362&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida San Juan hasta CC Villanueva por Avenida Oriental ,"6.2432958,-75.5686182",,"6.2557354,-75.5638362",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2432958,-75.5686182&destination=6.2557354,-75.5638362&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,25,""Ruta desde Avenida San Juan hasta CC Villanueva por Avenida Oriental "",0)",tiempos_de_viaje_seguimiento_1.pyw,"Modificado el 30/01/2020
seguimiento 13/07/2022"
26,Avenida Oriental,NS,Villanueva,San Juan,1.6,TV P.O/ZUAP/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2556351,-75.5639155/6.2441021,-75.5688367/@6.2419259,-75.5661488,16z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2556351,-75.5639155&destination=6.2441021,-75.5688367&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde CC Villanueva hasta Avenida San Juan  por Avenida Oriental ,"6.2556351,-75.5639155",,"6.2441021,-75.5688367",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2556351,-75.5639155&destination=6.2441021,-75.5688367&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,26,""Ruta desde CC Villanueva hasta Avenida San Juan  por Avenida Oriental "",0)",tiempos_de_viaje_seguimiento_1.pyw,"Modificado el 30/01/2020
seguimiento 13/07/2022"
27,Transversal inferior,NS,Avenida Las Palmas,Calle 1 Sur,2,N.A,PyP,Semiinterrumpido,Inactivo,"https://www.google.es/maps/dir/6.2149636,-75.5608632/6.2004842,-75.5645554/@6.1979397,-75.5638311,16.25z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2149636,-75.5608632&destination=6.2004842,-75.5645554&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Las Palmas hasta Calle 1Sur por Transversal inferior,"6.2149636,-75.5608632",,"6.2004842,-75.5645554",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2149636,-75.5608632&destination=6.2004842,-75.5645554&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,27,""Ruta desde Avenida Las Palmas hasta Calle 1Sur por Transversal inferior"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Modificados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
28,Transversal superior,SN,Calle 12 Sur,Calle 10,2.6,N.A,PyP,Semiinterrumpido,Inactivo,"https://www.google.es/maps/dir/6.1870058,-75.5617351/6.2080277,-75.5548798/@6.1995917,-75.5715786,14.79z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.1870058,-75.5617351&destination=6.2080277,-75.5548798&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 12 Sur hasta Calle 10 por Transversal Superior,"6.1870058,-75.5617351",,"6.2080277,-75.5548798",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.1870058,-75.5617351&destination=6.2080277,-75.5548798&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,28,""Ruta desde Calle 12 Sur hasta Calle 10 por Transversal Superior"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Modificados el 22/01/2019
Seguimiento 13/07/2022 - Inactivo"
29,Avenida San Juan,WE,Avenida Regional,Avenida Oriental,1.4,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2477776,-75.5800186/6.2437682,-75.5684043/@6.2466731,-75.5749923,16.75z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2477776,-75.5800186&destination=6.2437682,-75.5684043&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Regional hasta Avenida Oriental por Avenida San Juan,"6.2477776,-75.5800186",,"6.2437682,-75.5684043",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2477776,-75.5800186&destination=6.2437682,-75.5684043&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,29,""Ruta desde Avenida Regional hasta Avenida Oriental por Avenida San Juan"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
30,Avenida San Juan,EW,Avenida Oriental,Avenida Regional,1.4,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2438435,-75.5683664/6.2479456,-75.5799963/@6.2459451,-75.5764975,17z/data=!3m1!4b1!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2438435,-75.5683664&destination=6.2479456,-75.5799963&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Oriental hasta Avenida Regional por Avenida San Juan,"6.2438435,-75.5683664",,"6.2479456,-75.5799963",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2438435,-75.5683664&destination=6.2479456,-75.5799963&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,30,""Ruta desde Avenida Oriental hasta Avenida Regional por Avenida San Juan"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
31,Avenida Colombia,WE,Avenida 80,Avenida Ferrocarril,2.7,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2633551,-75.5964729/6.2528424,-75.5747711/@6.2547787,-75.5861693,16.21z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2633551,-75.5964729&destination=6.2528424,-75.5747711&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida 80 hasta Avenida Ferrocarril por Avenida Colombia,"6.2633551,-75.5964729",,"6.2528424,-75.5747711",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2633551,-75.5964729&destination=6.2528424,-75.5747711&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,31,""Ruta desde Avenida 80 hasta Avenida Ferrocarril por Avenida Colombia"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Creados el 22/01/2018
Se activa nuevamente en la consulta
seguimiento 13/07/2022 - activo"
32,Avenida Colombia,EW,Avenida Ferrocarril,Avenida 80,2.7,TV P.O/PyP,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.2529411,-75.5747185/6.2635273,-75.5964219/@6.2581573,-75.5896321,16z/data=!3m1!4b1!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2529411,-75.5747185&destination=6.2635273,-75.5964219&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Ferrocarril hasta Avenida 80 por Avenida Colombia,"6.2529411,-75.5747185",,"6.2635273,-75.5964219",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2529411,-75.5747185&destination=6.2635273,-75.5964219&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,32,""Ruta desde Avenida Ferrocarril hasta Avenida 80 por Avenida Colombia"",0)",tiempos_de_viaje_seguimiento_6.pyw,"Creados el 22/01/2018
Se activa nuevamente en la consulta
seguimiento 13/07/2022 - activo"
33,Avenida 33,WE,Glorieta Exposiciones,Glorieta San Diego,0.6,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2389721,-75.5753906/6.2370923,-75.5704845/@6.2390228,-75.5737137,17.25z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2389721,-75.5753906&destination=6.2370923,-75.5704845&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Glorieta Exposiciones hasta Glorieta San Diego por Avenida 33,"6.2389721,-75.5753906",,"6.2370923,-75.5704845",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2389721,-75.5753906&destination=6.2370923,-75.5704845&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,33,""Ruta desde Glorieta Exposiciones hasta Glorieta San Diego por Avenida 33"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
34,Avenida 33,EW,Glorieta San Diego,Glorieta Exposiciones,0.6,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2378361,-75.5705011/6.2395363,-75.5752023/@6.2376994,-75.5723415,17.5z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2378361,-75.5705011&destination=6.2395363,-75.5752023&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Glorieta San Diego hasta Glorieta Exposiciones por Avenida 33,"6.2378361,-75.5705011",,"6.2395363,-75.5752023",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2378361,-75.5705011&destination=6.2395363,-75.5752023&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,34,""Ruta desde Glorieta San Diego hasta Glorieta Exposiciones por Avenida 33"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
35,Avenida El Poblado,SN,Calle 30,Calle 33,1.1,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2274593,-75.5693643/6.2375686,-75.5703455/@6.2346702,-75.5837591,14.92z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2274593,-75.5693643&destination=6.2375686,-75.5703455&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 30 hasta Calle 33 por Avenida El Poblado,"6.2274593,-75.5693643",,"6.2375686,-75.5703455",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2274593,-75.5693643&destination=6.2375686,-75.5703455&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,35,""Ruta desde Calle 30 hasta Calle 33 por Avenida El Poblado"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
36,Avenida El Poblado,NS,Calle 33,Calle 30,1.1,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2375705,-75.5704119/6.2274413,-75.5694188/@6.2310749,-75.5710663,15.96z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2375705,-75.5704119&destination=6.2274413,-75.5694188&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 33 hasta Calle 30 por Avenida El Poblado,"6.2375705,-75.5704119",,"6.2274413,-75.5694188",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2375705,-75.5704119&destination=6.2274413,-75.5694188&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,36,""Ruta desde Calle 33 hasta Calle 30 por Avenida El Poblado"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
37,Avenida Las Vegas,NS,Calle 30,Calle 4 Sur,3.1,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.231125,-75.5745832/6.203022,-75.5773136/@6.2052537,-75.5796777,14.92z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.231125,-75.5745832&destination=6.203022,-75.5773136&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 30 hasta Calle 4 Sur por Avenida Las Vegas,"6.231125,-75.5745832",,"6.203022,-75.5773136",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.231125,-75.5745832&destination=6.203022,-75.5773136&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,37,""Ruta desde Calle 30 hasta Calle 4 Sur por Avenida Las Vegas"",1)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
38,Avenida Las Vegas,NS,Calle 4 Sur ,Calle 12 Sur,1,TV P.O,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.203022,-75.5773136/6.1947372,-75.579506/@6.198713,-75.5792723,16.25z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.203022,-75.5773136&destination=6.1947372,-75.579506&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 4 Sur hasta Calle 12 Sur por Avenida Las Vegas,"6.203022,-75.5773136",,"6.1947372,-75.579506",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.203022,-75.5773136&destination=6.1947372,-75.579506&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,38,""Ruta desde Calle 4 Sur hasta Calle 12 Sur por Avenida Las Vegas"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
seguimiento 13/07/2022 - activo"
39,Avenida Las Vegas,SN,Calle 4 Sur,Calle 30,3.1,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2030054,-75.57722/6.231129,-75.57444/@6.2174064,-75.5764292,15.08z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2030054,-75.57722&destination=6.231129,-75.57444&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 4 Sur hasta Calle 30 por Avenida Las Vegas,"6.2030054,-75.57722",,"6.231129,-75.57444",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2030054,-75.57722&destination=6.231129,-75.57444&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,39,""Ruta desde Calle 4 Sur hasta Calle 30 por Avenida Las Vegas"",1)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
40,Avenida Las Vegas,SN,Calle 12 Sur,Calle 4 Sur,1,TV P.O,PyP,Interrumpido,Activo,"https://www.google.es/maps/dir/6.1947164,-75.5794418/6.2029982,-75.5772207/@6.1974334,-75.57958,15.92z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.1947164,-75.5794418&destination=6.2029982,-75.5772207&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Calle 12 Sur hasta Calle 4 Sur por Avenida Las Vegas,"6.1947164,-75.5794418",,"6.2029982,-75.5772207",0.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.1947164,-75.5794418&destination=6.2029982,-75.5772207&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,40,""Ruta desde Calle 12 Sur hasta Calle 4 Sur por Avenida Las Vegas"",0)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
seguimiento 13/07/2022 - activo"
41,Calle 10,WE,Avenida Guayabal,Carrera 32d,2.2,N.A,PyP,Interrumpido,Inactivo,"https://www.google.es/maps/dir/6.2145799,-75.5816473/6.2074743,-75.5638764/@6.2073409,-75.5655321,18.08z/data=!4m2!4m1!3e0","https://maps.googleapis.com/maps/api/directions/json?origin=6.2145799,-75.5816473&destination=6.2074743,-75.5638764&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now",Ruta desde Avenida Guayabal hasta Transversal Inferior por Calle 10,"6.2145799,-75.5816473",,"6.2074743,-75.5638764",1.0,"cuerpo += leerruta(""https://maps.googleapis.com/maps/api/directions/json?origin=6.2145799,-75.5816473&destination=6.2074743,-75.5638764&alternatives=true&key=AIzaSyDWOGD72p9N8ekown3glm3rbS1fN7tQm4w&traffic_model=best_guess&departure_time=now"",0,41,""Ruta desde Avenida Guayabal hasta Transversal Inferior por Calle 10"",1)",tiempos_de_viaje_seguimiento_1.pyw,"Creados el 22/01/2018
Seguimiento 13/07/2022 - Inactivo"
